system   W            wsystem.c:504  load_library_at_path             [   0.00047] Failed to load C:\Users\Brad\Desktop\Dropbox\Grand Tale\Game\Tools\GTMod2Extreme\GTMod2Extreme\Debug\d3d9.dll (error: 126)
system   D            wsystem.c:565  maybe_load_library_at_cwd        [   0.00060] Assuming MSVC build directory, trying C:\Users\Brad\Desktop\Dropbox\Grand Tale\Game\Tools\GTMod2Extreme\GTMod2Extreme\d3d9.dll
system   I            wsystem.c:497  load_library_at_path             [   0.01889] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:866  _al_d3d_init_display             [   0.03081] Render-to-texture: 1
system   I             system.c:238  al_install_system                [   0.03085] Allegro version: 5.0.0 (RC4)
d3d      I         d3d_disp.cpp:1907 d3d_create_display_locked        [   0.03984] faux_fullscreen=0
display  D   display_settings.c:486  _al_score_display_settings       [   0.05333] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.05337] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.05339] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.05341] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.05343] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05344] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.05346] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.05347] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.05349] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.05351] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.05352] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.05354] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.05355] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05357] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.05359] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.05360] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.05364] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.05366] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.05367] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.05369] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.05370] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05372] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.05386] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.05388] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.05390] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.05391] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.05393] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.05394] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.05396] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05397] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.05399] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.05401] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.05402] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.05407] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.05409] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.05411] Score is : 713
display  D   display_settings.c:357  _al_score_display_settings       [   0.05412] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05414] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05416] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05417] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05419] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05421] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05422] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05424] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05426] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05427] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05429] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05430] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05432] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05434] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05435] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05437] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05439] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05440] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05442] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05444] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05445] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05447] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05449] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05450] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05452] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05453] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05455] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05457] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05458] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05460] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05461] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05465] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05467] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05469] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05471] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05472] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.05474] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05476] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05477] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05479] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05480] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05482] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.05483] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.05485] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.05487] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.05488] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.05490] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.05491] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.05493] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.05494] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.05496] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.05498] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.05499] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.05501] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.05502] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.05504] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.05505] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.05507] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.05508] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.05510] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.05512] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.05513] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.05515] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.05516] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.05518] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.05519] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.05521] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.05523] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.05524] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.05526] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.05527] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.05529] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.05530] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.05532] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.05534] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.05535] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.05537] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.05539] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.05540] Score is : 587
