system   W            wsystem.c:504  load_library_at_path             [   0.00032] Failed to load C:\Users\BRAD\Dropbox\Grand Tale\Game\Tools\GTMod2Extreme\bin\d3d9.dll (error: 126)
system   I            wsystem.c:497  load_library_at_path             [   0.00225] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:866  _al_d3d_init_display             [   0.00820] Render-to-texture: 1
system   I             system.c:238  al_install_system                [   0.00824] Allegro version: 5.0.0 (RC4)
d3d      I         d3d_disp.cpp:1907 d3d_create_display_locked        [   0.01100] faux_fullscreen=0
display  D   display_settings.c:486  _al_score_display_settings       [   0.02812] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02815] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02817] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02818] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02819] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02821] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02822] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.02824] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.02825] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.02826] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.02827] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.02828] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.02830] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02831] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02832] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.02833] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.02834] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.02836] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.02837] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.02838] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.02839] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02840] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02842] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.02843] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.02846] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.02849] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.02851] Score is : 714
