system   W            wsystem.c:504  load_library_at_path             [   0.00079] Failed to load C:\Users\BRAD\Dropbox\Grand Tale\Game\Tools\GTMod2Extreme\GTMod2Extreme\..\bin\d3d9.dll (error: 126)
system   I            wsystem.c:497  load_library_at_path             [   0.02753] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:866  _al_d3d_init_display             [   0.04656] Render-to-texture: 1
system   I             system.c:238  al_install_system                [   0.04662] Allegro version: 5.0.0 (RC4)
d3d      I         d3d_disp.cpp:1907 d3d_create_display_locked        [   2.76526] faux_fullscreen=0
display  D   display_settings.c:486  _al_score_display_settings       [   2.79413] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   2.79416] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   2.79418] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   2.79419] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   2.79420] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   2.79421] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   2.79423] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   2.79424] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   2.79425] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   2.79426] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   2.79428] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   2.79429] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   2.79430] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   2.79431] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   2.79432] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   2.79434] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   2.79435] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   2.79436] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   2.79437] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   2.79438] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   2.79440] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   2.79441] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   2.79442] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   2.79443] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   2.79445] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   2.79446] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   2.79447] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   2.79448] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   2.79449] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   2.79451] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   2.79452] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   2.79453] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   2.79454] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   2.79455] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   2.79457] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   2.79461] Score is : 713
display  D   display_settings.c:357  _al_score_display_settings       [   2.79462] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79464] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79465] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79466] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79467] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79468] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79470] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79471] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79472] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79473] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79475] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79476] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79477] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79478] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79479] Single Buffer requirement not met.
