system   W            wsystem.c:504  load_library_at_path             [   0.00036] Failed to load C:\Users\BRAD\Dropbox\Grand Tale\Game\Tools\GTMod2Extreme\bin\d3d9.dll (error: 126)
system   I            wsystem.c:497  load_library_at_path             [   0.00238] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:866  _al_d3d_init_display             [   0.00808] Render-to-texture: 1
system   I             system.c:238  al_install_system                [   0.00812] Allegro version: 5.0.0 (RC4)
d3d      I         d3d_disp.cpp:1907 d3d_create_display_locked        [   0.01249] faux_fullscreen=0
display  D   display_settings.c:486  _al_score_display_settings       [   0.03704] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03708] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03709] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03710] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03712] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03713] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03714] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03715] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.03716] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.03717] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.03719] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.03720] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.03721] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03722] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03723] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03725] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.03726] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.03727] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.03729] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.03730] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.03731] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03732] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03733] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03734] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.03736] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.03737] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.03738] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.03739] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.03740] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03742] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03743] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03744] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.03745] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.03746] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.03747] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.03749] Score is : 713
display  D   display_settings.c:357  _al_score_display_settings       [   0.03753] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03754] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03755] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03757] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03758] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03759] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03760] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03761] Single Buffer requirement not met.
