system   W            wsystem.c:504  load_library_at_path             [   0.00048] Failed to load C:\Users\Seki\Documents\Dropbox\Grand Tale\Game\Tools\GTMod2Extreme\bin\d3d9.dll (error: 126)
system   I            wsystem.c:497  load_library_at_path             [   0.00211] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:866  _al_d3d_init_display             [   0.00966] Render-to-texture: 1
system   I             system.c:238  al_install_system                [   0.00974] Allegro version: 5.0.0 (RC4)
d3d      I         d3d_disp.cpp:1907 d3d_create_display_locked        [   0.01200] faux_fullscreen=0
display  D   display_settings.c:486  _al_score_display_settings       [   0.01325] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01329] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01331] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01333] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01335] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01337] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01339] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01341] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01343] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01345] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01347] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01349] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01350] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01352] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01354] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01356] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01358] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01360] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01362] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01364] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01366] Score is : 769
