system   W            wsystem.c:504  load_library_at_path             [   0.00050] Failed to load C:\Users\Seki\Documents\Dropbox\Grand Tale\Game\Tools\GTMod2Extreme\bin\d3d9.dll (error: 126)
system   I            wsystem.c:497  load_library_at_path             [   0.00199] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:866  _al_d3d_init_display             [   0.01279] Render-to-texture: 1
system   I             system.c:238  al_install_system                [   0.01287] Allegro version: 5.0.0 (RC4)
d3d      I         d3d_disp.cpp:1907 d3d_create_display_locked        [   0.01561] faux_fullscreen=0
display  D   display_settings.c:486  _al_score_display_settings       [   0.01759] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01766] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01768] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01770] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01772] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01774] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01776] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01778] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01780] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01782] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01784] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01786] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01788] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01790] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01792] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01794] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01796] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01798] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01800] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01802] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01804] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01806] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01808] Score is : 726
