system   W            wsystem.c:504  load_library_at_path             [   0.00031] Failed to load C:\Users\BRAD\Dropbox\Grand Tale\Game\Tools\GTMod2Extreme\bin\d3d9.dll (error: 126)
system   I            wsystem.c:497  load_library_at_path             [   0.00192] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:866  _al_d3d_init_display             [   0.00676] Render-to-texture: 1
system   I             system.c:238  al_install_system                [   0.00680] Allegro version: 5.0.0 (RC4)
d3d      I         d3d_disp.cpp:1907 d3d_create_display_locked        [   0.00941] faux_fullscreen=0
display  D   display_settings.c:486  _al_score_display_settings       [   0.01287] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01290] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01291] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01292] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01293] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01295] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01296] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01297] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01298] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01299] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01301] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01302] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01303] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01304] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01305] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01307] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01308] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01309] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01310] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01311] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01313] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01314] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01315] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01316] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01317] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01318] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01320] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01321] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01322] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01323] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01325] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01326] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01327] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01329] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01330] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01331] Score is : 713
display  D   display_settings.c:357  _al_score_display_settings       [   0.01335] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01336] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01337] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01339] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01340] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01341] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01342] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01343] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01345] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01346] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01347] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01348] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01349] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01350] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01352] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01353] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01354] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01355] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01356] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01358] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01359] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01360] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01361] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01362] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01364] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01365] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01366] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01367] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01368] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01369] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01371] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01372] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01373] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01374] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01376] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01377] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.01378] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01379] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01380] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01382] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01383] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01384] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01385] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01386] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01387] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01389] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01390] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01391] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01392] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01393] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01394] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01395] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01397] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01398] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01399] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01400] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01401] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01402] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01404] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01405] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01406] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01407] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01408] Score is : 587
