system   W            wsystem.c:504  load_library_at_path             [   0.00057] Failed to load C:\Users\Brad\Desktop\Dropbox\Grand Tale\Game\Tools\MapEditorV2\MapEditor\Debug\d3d9.dll (error: 126)
system   I            wsystem.c:497  load_library_at_path             [   0.01886] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:866  _al_d3d_init_display             [   0.03617] Render-to-texture: 1
system   I             system.c:238  al_install_system                [   0.03623] Allegro version: 5.0.0 (RC4)
d3d      I         d3d_disp.cpp:1907 d3d_create_display_locked        [   0.04514] faux_fullscreen=0
display  D   display_settings.c:486  _al_score_display_settings       [   0.05902] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.05905] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.05907] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.05908] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.05909] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05910] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.05911] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.05912] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.05913] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.05915] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.05916] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.05917] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.05918] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05919] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.05920] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.05921] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.05922] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.05924] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.05925] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.05926] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.05927] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05928] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.05929] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.05931] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.05932] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.05933] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.05934] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.05935] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.05936] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05937] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.05938] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.05939] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.05941] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.05942] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.05943] Score is : 714
